PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI
311.18,179.44,113.89,65.38,3.77,97.56,24.26,66.34,4.69,104.87
376.1,384.5,87.72,71.25,1.13,169.34,9.69,85.17,4.09,138.92
358.46,149.45,181.74,89.96,4.5,144.79,10.01,62.8,5.53,119.1
241.17,84.58,26.68,52.94,1.11,179.64,32.42,22.28,1.5,69.35
369.14,254.99,101.06,17.05,1.03,66.37,22.21,89.82,14.07,117.43
39.95,421.91,7.21,35.49,0.28,139.26,13.02,71.71,8.4,66.66
82.41,316.25,96.39,44.84,2.41,75.34,24.66,70.74,4.72,71.14
22.86,260.83,15.98,78.22,2.87,88.98,7.57,36.18,6.08,48.75
133.51,52.76,28.17,69.35,0.42,114.81,28.28,69.42,6.82,41.79
158.53,280.6,27.92,44.02,3.9,157.89,15.76,49.54,9.09,81.41
112.18,445.62,131.6,118.41,2.32,177.21,36.9,68.84,7.83,101.24
332.35,71.64,150.48,73.48,2.67,139.45,17.41,27.99,13.81,97.81
145.92,238.07,118.76,29.99,2.26,78.11,23.21,69.34,7.56,74.96
115.97,396.04,192.62,14.01,2.06,78.74,5.46,94.96,14.88,93.29
219.36,335.94,78.1,20.04,2.84,134.08,7.9,23.62,12.8,100.85
60.67,316.69,60.71,31.02,0.86,46.79,20.7,93.29,3.29,60.19
321.87,319.09,174.38,20.96,0.99,24.33,24.2,50.52,13.97,120.52
34.45,168.18,48.6,24.01,4.32,67.06,29.0,85.31,1.92,41.76
394.82,139.18,192.83,35.64,4.74,55.27,16.67,78.68,12.3,121.92
310.04,366.12,7.37,22.46,1.93,56.85,32.8,62.53,5.83,114.02
83.49,366.45,194.13,107.82,1.43,45.88,39.4,75.38,13.19,85.02
7.18,391.51,13.42,11.47,3.26,12.37,36.19,85.89,13.05,57.85
327.11,411.83,178.77,63.89,2.1,8.13,6.58,50.31,12.13,136.75
284.21,234.99,107.9,50.43,0.22,177.85,24.22,44.53,11.89,101.16
292.96,230.67,198.63,117.92,0.87,79.86,9.2,70.07,4.71,110.55
309.65,361.25,19.39,15.22,3.61,72.26,14.68,80.59,1.4,117.27
34.25,295.98,113.0,48.95,3.33,123.94,44.47,77.17,6.16,63.2
146.59,318.87,194.01,116.4,0.23,43.19,10.7,79.84,2.77,89.87
50.77,360.15,107.0,104.13,1.19,171.24,24.96,52.67,10.49,73.72
345.93,401.6,127.73,98.41,1.23,142.61,29.73,81.34,5.32,138.62
251.2,158.72,140.67,32.43,3.39,20.65,33.1,29.02,14.64,88.38
135.7,175.26,93.64,22.16,0.2,78.08,27.39,60.84,9.69,59.25
30.11,51.35,127.37,80.9,0.61,158.85,5.39,20.43,12.37,30.27
127.84,264.44,118.94,111.67,4.02,170.33,18.06,44.34,2.16,83.3
133.45,25.81,180.73,67.7,0.97,86.8,25.71,47.48,12.96,50.05
293.19,214.86,13.86,69.45,3.3,112.35,8.51,49.71,13.86,97.9
256.84,248.76,59.79,35.04,1.27,34.23,19.03,72.16,7.41,91.42
355.45,136.08,190.33,92.8,0.59,178.45,6.33,49.14,9.17,111.58
191.52,269.97,178.6,24.07,1.29,45.54,8.14,53.65,11.52,89.81
52.24,23.42,93.85,40.19,3.64,169.98,20.88,37.82,2.79,32.64
286.73,26.43,125.93,52.2,4.29,118.69,10.31,47.99,7.64,82.66
305.51,371.94,59.09,61.9,4.17,111.35,27.7,37.05,6.1,124.58
226.7,168.48,41.68,30.6,2.05,94.72,32.58,25.49,2.37,76.7
309.53,65.91,95.42,15.55,3.37,45.37,37.02,65.26,5.64,84.96
200.05,239.79,73.9,74.05,1.1,35.89,13.01,70.12,1.21,81.32
211.48,348.8,118.81,36.06,1.54,43.59,11.7,66.46,0.58,100.03
173.88,104.96,20.16,70.59,4.49,37.63,9.18,54.76,2.2,61.03
15.04,284.07,195.01,20.21,0.16,141.43,30.46,48.48,14.45,57.77
47.62,47.55,197.31,58.77,0.52,66.27,33.26,84.75,8.33,35.18
17.41,32.74,141.14,64.85,1.12,15.12,6.26,58.93,14.49,23.09
256.38,243.8,109.54,8.12,0.23,174.59,42.45,55.94,6.6,95.06
129.17,247.88,65.36,41.72,0.99,159.66,7.08,21.92,4.81,69.11
205.89,290.47,163.69,17.86,2.96,167.36,26.65,45.59,7.69,99.84
363.49,329.48,138.52,9.48,2.16,179.11,33.36,48.51,6.7,132.92
103.47,439.37,36.71,118.82,4.47,35.43,39.84,49.91,1.76,91.84
167.1,237.17,182.63,40.04,4.11,74.34,33.56,63.51,9.68,87.41
303.44,152.1,165.39,97.57,1.77,137.69,37.07,60.02,3.4,102.56
95.38,359.88,190.21,32.05,1.37,126.8,18.58,65.59,9.37,85.18
35.41,129.17,146.52,82.42,1.96,31.93,37.59,77.37,9.82,41.74
119.45,203.15,124.62,91.71,2.99,147.77,8.2,80.97,2.45,71.23
68.68,44.52,86.56,72.29,1.41,44.28,40.79,73.86,1.11,32.27
372.23,21.15,186.88,57.65,3.16,44.17,26.9,91.66,11.76,100.04
324.21,433.57,173.88,50.6,2.11,98.97,37.69,21.37,7.01,140.26
255.19,377.83,13.82,43.17,2.81,108.76,23.09,34.68,1.06,108.66
349.23,316.23,10.14,111.68,2.24,106.52,30.74,20.57,14.92,121.18
322.45,189.94,78.41,100.01,1.54,21.01,26.06,68.56,1.06,101.34
78.7,86.25,163.06,115.87,4.75,158.56,34.26,87.35,10.49,55.66
357.56,78.83,197.52,16.67,3.84,51.48,8.27,38.26,14.76,104.86
218.04,120.11,34.33,88.24,0.79,27.67,7.41,89.53,3.74,66.79
323.94,251.66,120.86,112.72,4.36,160.53,14.88,24.52,2.31,121.45
358.96,324.42,79.27,23.39,2.49,172.24,11.38,90.08,2.0,127.89
130.61,300.49,194.13,9.85,4.48,155.87,39.87,46.37,4.69,90.38
48.47,133.17,169.21,89.45,4.02,146.67,13.77,27.61,1.7,53.31
95.03,430.14,168.47,69.79,2.18,119.67,44.03,56.44,10.44,95.01
173.71,334.67,96.4,101.34,0.21,101.4,18.48,39.26,1.12,90.76
328.12,253.92,85.89,18.49,1.42,20.22,12.28,41.37,7.74,107.53
344.99,279.16,58.31,95.84,2.75,76.48,36.59,43.05,14.95,118.83
7.75,194.62,15.99,25.79,3.2,70.22,31.35,80.23,12.25,35.47
206.75,119.0,173.62,21.31,1.36,50.46,24.93,60.44,9.31,73.75
169.88,166.63,163.52,21.38,0.78,131.6,27.21,43.35,4.73,72.58
92.73,343.45,199.94,98.12,4.19,91.78,33.77,65.78,9.43,90.03
52.35,16.33,199.34,80.49,4.92,19.18,14.14,73.71,8.0,39.78
138.36,61.07,113.31,63.72,2.68,43.53,44.85,40.45,6.51,52.12
377.45,30.24,154.95,44.34,0.94,124.57,43.99,51.02,2.13,97.43
132.67,27.92,189.23,105.51,1.43,18.32,31.01,29.14,13.32,51.4
209.92,386.4,170.68,48.31,0.19,153.96,12.98,33.59,6.86,109.2
282.69,319.61,53.23,98.36,4.58,91.65,32.21,71.08,3.08,114.72
148.63,218.64,92.86,53.82,0.68,89.1,7.89,33.61,5.64,69.59
388.85,53.05,30.19,46.48,2.92,108.67,6.23,59.39,6.33,96.36
385.17,226.31,191.04,56.6,1.44,149.32,15.31,73.18,12.45,128.17
104.45,218.33,123.2,37.56,2.82,65.87,23.5,28.02,11.06,65.5
201.41,86.21,49.59,90.22,3.29,123.65,39.73,62.55,11.59,67.24
123.85,200.89,135.98,61.32,4.17,104.0,34.09,39.24,0.36,72.42
117.51,185.34,125.54,29.4,1.11,51.73,34.71,92.22,6.36,60.5
19.57,280.97,74.84,108.15,0.15,158.76,22.02,56.27,7.32,53.21
245.78,289.44,27.14,47.3,0.77,144.55,18.84,80.45,0.48,94.23
203.56,29.93,135.96,66.14,4.51,120.23,19.84,61.27,4.05,68.19
25.33,174.83,106.46,108.96,4.38,153.85,44.51,23.26,11.45,50.78
115.07,285.38,155.6,75.66,3.03,156.78,6.6,67.49,2.23,82.6
363.77,231.38,106.43,15.79,3.04,128.96,39.68,91.36,8.12,118.84
99.63,386.86,171.18,112.9,3.36,151.48,28.15,65.12,3.38,95.3
62.23,299.83,112.62,76.07,0.96,127.06,22.54,81.44,0.38,66.27
198.33,81.69,114.38,41.52,4.58,124.02,34.01,86.32,3.77,71.23
394.33,41.05,175.95,18.43,2.15,113.26,24.47,37.11,14.64,104.53
100.61,292.66,83.68,95.69,1.98,136.73,39.94,35.9,12.06,73.69
270.49,21.66,31.13,75.17,2.64,32.76,41.03,65.82,14.4,67.59
305.84,267.74,10.61,64.95,0.33,159.15,21.87,50.83,7.42,102.59
98.87,423.7,152.25,107.48,0.91,157.57,16.07,82.99,1.82,93.99
292.65,263.21,125.96,95.05,3.72,10.12,28.69,87.5,8.31,111.44
150.27,180.79,142.3,19.9,0.51,149.52,41.49,46.51,6.92,68.75
254.76,293.05,46.53,38.78,3.06,27.55,13.43,37.77,12.7,98.66
255.24,211.63,31.59,31.32,1.3,63.65,29.92,78.54,1.65,85.0
216.63,250.07,7.84,89.79,2.01,135.11,30.26,40.61,7.43,85.66
40.66,424.24,73.36,5.96,1.51,33.13,34.32,81.7,2.42,70.38
334.94,179.89,120.03,69.25,1.84,148.14,10.26,51.78,5.01,108.18
131.71,432.92,81.49,91.97,3.62,150.62,33.63,70.07,11.11,100.35
78.67,408.35,90.31,105.46,1.56,93.81,41.36,27.17,7.25,82.84
21.11,96.15,181.31,42.37,2.88,6.12,12.19,66.79,5.76,36.72
238.4,40.52,72.91,98.91,2.43,55.23,14.5,53.88,6.04,67.81
272.64,54.34,105.23,15.05,3.35,112.96,43.86,64.0,7.0,78.5
11.55,18.02,157.81,101.88,4.69,176.71,12.24,32.6,11.82,33.1
207.28,51.55,82.33,17.04,3.69,115.57,39.18,75.27,13.4,64.1
94.47,310.52,126.31,48.88,1.15,50.47,24.69,84.71,14.34,72.42
259.84,41.32,173.16,96.08,0.25,115.95,14.89,36.26,11.85,77.31
73.87,150.35,190.16,19.69,1.39,99.5,39.83,27.18,4.87,53.53
277.92,381.75,33.68,29.05,3.02,141.47,22.81,21.77,10.38,115.8
157.76,20.24,185.68,87.23,0.35,23.72,25.59,68.15,6.68,52.71
375.01,368.37,100.96,86.96,2.53,138.18,19.37,65.53,3.97,139.98
59.32,134.02,55.36,77.66,3.02,99.72,28.72,61.0,12.64,43.66
139.72,61.99,94.53,83.89,1.74,173.52,11.54,37.4,0.77,53.52
49.82,316.56,196.11,66.04,3.88,64.83,20.64,49.32,13.55,75.29
370.25,286.73,101.06,31.71,0.62,115.71,43.78,64.59,7.03,122.72
351.55,396.09,69.11,42.79,0.47,168.1,15.33,57.26,9.63,131.74
106.89,333.43,128.51,23.43,3.67,22.94,31.27,94.08,9.96,80.62
265.69,363.53,51.83,109.2,2.53,169.01,18.01,30.23,13.45,115.48
327.8,134.1,19.79,70.84,3.47,125.38,35.94,72.14,9.62,95.85
224.3,88.07,30.13,49.3,2.23,16.87,10.23,50.32,9.29,64.43
214.21,340.27,29.97,56.52,1.31,57.67,43.79,52.11,1.19,93.61
100.53,365.01,34.62,113.78,4.11,128.93,23.15,73.82,7.87,83.3
41.78,445.82,32.07,20.1,4.02,16.79,14.44,71.93,2.42,74.74
359.4,191.55,129.97,71.18,3.5,106.88,7.94,94.34,11.11,117.22
360.67,173.69,40.47,61.69,1.43,65.53,11.79,29.63,7.78,103.49
255.08,351.62,72.41,74.15,2.99,113.66,25.79,27.81,10.27,111.44
138.92,159.95,179.87,4.14,1.87,13.0,18.48,74.33,0.82,65.03
142.94,419.53,97.42,104.91,0.55,157.52,38.16,63.38,1.45,97.43
291.75,387.7,135.17,111.99,4.59,175.36,22.24,40.56,10.8,133.86
359.36,198.76,38.6,68.69,0.77,174.55,14.95,25.96,1.27,108.07
355.4,340.38,42.5,84.2,4.76,136.19,29.69,26.42,1.25,131.91
313.05,342.0,12.97,110.85,2.29,27.77,33.27,87.06,0.38,115.46
